A1_A2_BX3,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev block,PymatgenData std_dev atomic_radius,PymatgenData std_dev mendeleev_no,PymatgenData std_dev melting_point,X-electro_negativity,B-radius,B-Electro-negativity,A1-radius,A2-radius,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,formation energy(ev)
HA_TiZ_SrCl3,0.733750473,9.47826087,0.563092506,0.560976935,27.36991405,1417.248209,3.16,118,0.95,226,320,0.651933702,1.073667153,3.292118033,0.359383684
HA_TiZ_ZrCl3,0.646826022,9.652173913,0.687874067,0.456203848,16.61618371,1490.519368,3.16,109,1.33,226,320,0.602209945,1.106987857,3.388490686,1.475685955
HA_TriMA_PbCl3,0.527930558,8.285714286,0.605839251,0.541239388,6.672095168,1397.075287,3.16,119,2.33,226,304,0.657458564,1.051232081,3.302513701,-0.023048907
HA_TriMA_SnCl3,0.556453961,8.285714286,0.605839251,0.466439217,6.39873583,1396.673837,3.16,115,1.96,226,304,0.635359116,1.06543792,3.334279816,-0.441789084
HA_TriMA_SrCl3,0.727872458,7.428571429,0.599625351,0.588831764,26.9734229,1407.459228,3.16,118,0.95,226,304,0.651933702,1.054747908,3.309716897,0.580453951
HA_TroP_PbCl3,0.479094973,9.642857143,0.571771875,0.502424193,6.499462054,1873.943562,3.16,119,2.33,226,333,0.657458564,1.085408909,3.271679221,0.305891075
HA_TroP_SrCl3,0.685086259,8.785714286,0.583874208,0.548344616,25.81330903,1868.532794,3.16,118,0.95,226,333,0.651933702,1.089039039,3.280732976,0.86745573
HY_AA_SnCl3,0.543220154,8.846153846,0.596600539,0.463589532,6.360631031,1189.652266,3.16,115,1.96,220,300,0.635359116,1.053493549,3.345437338,-0.283043849
HY_AA_SrCl3,0.729507612,7.923076923,0.596600539,0.589311578,27.51979257,1208.162229,3.16,118,0.95,220,300,0.651933702,1.04292338,3.323009925,0.492440804
HY_Az_SnCl3,0.530284446,8.518518519,0.602121085,0.465856107,6.420832628,1409.862899,3.16,115,1.96,220,284,0.635359116,1.034382555,3.367173517,-0.504936461
HY_Az_SrCl3,0.711461937,7.62962963,0.598803588,0.58968558,27.23631277,1420.047143,3.16,118,0.95,220,284,0.651933702,1.024004135,3.348539234,0.278582356
HY_Az_ZrCl3,0.630625756,7.777777778,0.752154939,0.486111902,16.62475474,1499.267296,3.16,109,1.33,220,284,0.602209945,1.055783573,3.419145438,3.611274612
HY_DiMA_SnCl3,0.547162484,8.307692308,0.610120231,0.480088098,6.537758848,1213.810634,3.16,115,1.96,220,296,0.635359116,1.0487158,3.350400702,-0.146087416
HY_DiMA_ZrCl3,0.650512506,7.538461538,0.76974737,0.501100111,17.14854767,1340.311276,3.16,109,1.33,220,296,0.602209945,1.070413369,3.407695686,3.703383947
HY_GUA_CaCl3,0.738588064,8.24,0.596795093,0.541771153,27.64476219,920.8938049,3.16,100,1,220,280,0.552486188,1.084565917,3.53839167,0.199905013
HY_GUA_SnCl3,0.556722306,9.2,0.592957143,0.463299168,6.331049817,879.6509387,3.16,115,1.96,220,280,0.635359116,1.029604806,3.373439697,-0.494501206
HY_i-BuA_HfCl3,0.610982082,7.125,0.756069964,0.481648289,15.58141832,1633.073448,3.16,109,1.3,220,360,0.602209945,1.148438945,3.379467805,-7.017904366
HY_i-BuA_PbCl3,0.492697116,7.75,0.616925453,0.533476349,6.568013853,1525.228563,3.16,119,2.33,220,360,0.657458564,1.110157646,3.256853997,-0.971386897
HY_i-BuA_SrCl3,0.678906496,7,0.607171077,0.578572613,25.90634683,1532.338033,3.16,118,0.95,220,360,0.651933702,1.113870548,3.2670358,-0.543924084
HY_IM_HfCl3,0.640024796,8.88,0.716270534,0.464055844,16.21821306,1534.967352,3.16,109,1.3,220,303,0.602209945,1.078947416,3.402088397,-1.170858649
HY_IM_PbCl3,0.489115439,9.68,0.571040241,0.52000209,6.551800284,1405.92868,3.16,119,2.33,220,303,0.657458564,1.042982502,3.312128528,-0.072220632
HY_MA_HfCl3,0.687672376,7.826086957,0.780345146,0.513776683,17.68011856,1207.122557,3.16,109,1.3,220,238,0.602209945,0.999702691,3.490548664,1.926790872
HY_MA_SnCl3,0.566553335,8.695652174,0.60721914,0.491435021,6.714447027,930.5682633,3.16,115,1.96,220,238,0.635359116,0.979438447,3.464931654,-0.515106055
HY_Py_PbCl3,0.481540046,9.307692308,0.580288457,0.522669756,6.598855807,1571.142855,3.16,119,2.33,220,322,0.657458564,1.065374217,3.288109075,0.517887053
HY_Py_SnCl3,0.514883779,9.307692308,0.580288457,0.447578519,6.329232471,1571.962755,3.16,115,1.96,220,322,0.635359116,1.079771166,3.323047812,0.24533738
HY_TiZ_PbCl3,0.472183829,10.08333333,0.556446788,0.518267226,6.60275172,1404.210774,3.16,119,2.33,220,320,0.657458564,1.063017194,3.290338089,-0.22965618
HY_TiZ_SrCl3,0.708427481,9.083333333,0.572696823,0.566475503,27.20344689,1411.566168,3.16,118,0.95,220,320,0.651933702,1.066572436,3.298224013,0.511910498
HY_TiZ_ZrCl3,0.621867379,9.25,0.702224513,0.46323553,16.53436788,1486.056633,3.16,109,1.33,220,320,0.602209945,1.09967296,3.391379488,4.033769577
HY_TroP_PbCl3,0.453296242,9.310344828,0.581161203,0.50527843,6.496560476,1868.790866,3.16,119,2.33,220,333,0.657458564,1.078337841,3.276985554,0.462475109
HY_TroP_SrCl3,0.658821444,8.482758621,0.589645757,0.55056413,25.63130071,1864.294074,3.16,118,0.95,220,333,0.651933702,1.081944322,3.285687209,0.702860933
HY_TroP_ZrCl3,0.58063165,8.620689655,0.711774203,0.45342698,15.64242406,1892.757209,3.16,109,1.33,220,333,0.602209945,1.115521905,3.385653309,-1.398514999
i-BuA_AA_CuCl3,0.500072936,7.555555556,0.741223154,0.43015729,8.877930336,1725.13357,3.16,73,1.9,360,300,0.403314917,1.422565217,4.475904675,-0.734968216
